Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1099662643,000005E1,false,Rx,1,8,A6,00,00,00,00,00,00,00,
1099662917,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099662928,00000107,false,Rx,1,8,1A,00,FE,EB,81,3A,0E,7A,
1099688367,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099688378,000000FD,false,Rx,1,8,46,E2,3F,80,D2,15,00,00,
1099688636,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099688647,00000101,false,Rx,1,8,E0,02,74,11,82,56,41,00,
1099688929,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099688941,00000658,false,Rx,1,8,F4,0E,04,00,00,00,00,00,
1099689212,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099689223,00000640,false,Rx,1,8,00,89,9B,C2,7F,20,04,1C,
1099689500,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099689511,0000030C,false,Rx,1,8,DD,FB,3F,00,A0,30,00,40,
1099689790,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099689800,0000032A,false,Rx,1,8,E5,0D,00,00,00,02,00,00,
1099690077,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099690087,00000641,false,Rx,1,8,D1,1C,1F,52,14,0C,51,42,
1099690364,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099690375,000003BE,false,Rx,1,8,00,30,E7,01,88,80,0C,00,
1099715818,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099715828,00000040,false,Rx,1,8,F7,8A,00,00,80,00,00,00,
1099716090,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099716101,0000030B,false,Rx,1,8,10,02,00,3B,08,00,B7,00,
1099716378,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099716389,00000324,false,Rx,1,8,62,0B,00,00,00,00,00,00,
1099716666,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099716677,0000031B,false,Rx,1,8,E8,02,00,21,00,31,15,00,
